CaseStudyID	UKPRN
6382	10007795
6383	10007795
6384	10007795
6385	10007795
6386	10007795
6387	10007795
6388	10007795
6389	10007795
6390	10007795
6391	10007795
6392	10007795
6393	10007795
6394	10007795
6395	10007795
6396	10007795
6397	10007795
6398	10007795
6399	10007795
6400	10007795
6401	10007795
6402	10007795
6403	10007795
6404	10007795
6405	10007795
6408	10007795
6409	10007795
6410	10007795
6411	10007795
6412	10007795
6413	10007795
6414	10007795
6415	10007795
6416	10007795
6417	10007795
6418	10007795
6419	10007795
6420	10007795
6421	10007795
6423	10007795
6424	10007795
6426	10007795
6432	10007822
6433	10007822
6434	10007822
6435	10007822
6547	10004351
6596	10003958
6596	10006842
6597	10003958
6597	10006842
6601	10003958
6601	10006842
6602	10003958
6602	10006842
6605	10007774
6926	10007822
6927	10007822
6929	10007822
7149	10004797
7150	10004797
7151	10004797
7152	10004797
7155	10004797
7156	10004797
7157	10004797
7158	10004797
7260	10007163
7261	10004351
7262	10007163
7263	10007163
7310	10000291
7311	10007163
7312	10000291
7314	10006842
7315	10007163
7316	10007163
7317	10007163
7318	10007163
7319	10007163
7320	10007163
7321	10007163
7322	10006842
7372	10007163
7373	10007163
7374	10007163
7375	10007163
7376	10007141
7379	10007163
7380	10006842
7381	10006842
7382	10006842
7433	10007163
7434	10007163
7435	10007163
7539	10007163
7557	10004078
7639	10007163
7640	10007163
7641	10007163
7642	10007163
7643	10007163
7645	10007163
7646	10007163
7648	10007163
7649	10007163
7651	10007163
7652	10007163
7656	10007789
7657	10007789
7658	10007789
7659	10007163
7665	10007163
7667	10007163
7719	10000291
7721	10000291
7742	10007163
7743	10006842
7744	10006842
7745	10006842
7746	10006842
7747	10006842
7748	10006842
7749	10006842
7750	10006842
7751	10006842
7752	10006842
7754	10006842
7755	10007774
7756	10006842
7830	10006842
7831	10006842
7832	10006842
7833	10006842
7834	10006842
8065	10007851
8069	10007166
8070	10007166
8071	10001883
8072	10005523
8073	10001883
8075	10007788
8076	10007788
8077	10007788
8078	10007788
8087	10007788
8171	10000291
8224	10000291
8246	10007157
8269	10007157
8277	10007157
8284	10007157
8291	10007157
8316	10007795
8317	10007795
8319	10007795
8322	10007795
8324	10007851
8325	10004351
8326	10007816
8327	10007816
8328	10007816
8329	10001883
8330	10001883
8332	10004930
8338	10004930
8430	10004930
8432	10004930
8433	10004930
8436	10004930
8438	10000291
8528	10000291
8843	10007774
8844	10007774
8845	10007774
8846	10007774
8847	10007774
8848	10007774
8849	10007774
